采样时刻,通气速率,搅拌功率,底物流加速率,底物流加温度,底物浓度,溶氧浓度,菌体浓度,体积,c02浓度,PH值,反应温度,反应热,酸流速,基质流速,冷却水流速,青霉素浓度
2.2204e-16,0.6037735849056673,0.5798138869004958,0.0,0.5776536312851022,1.0,0.992482540812242,0.0,0.17232100886648638,0.06924761194388968,0.16788321167883424,0.47904191616544267,0.0,0.0,0.0,0.0,2.2204e-16
0.2,0.5983827493261629,0.5808876163206804,0.0,0.5899441340784506,0.9997265352686865,0.9768471153418457,0.00016726888879866827,0.17151054414601674,0.050773561752604585,0.160583941605843,0.47904191616544267,0.00016782372881355632,0.0,1.167261741281628e-15,2.0880924440277546e-05,6.6656e-07
0.4,0.5929919137466584,0.581961345740865,0.0,0.6005586592179952,0.9994464006658773,0.9389039633468279,0.0003385977020827404,0.17070007942554355,0.037390823127451234,0.15328467153284464,0.47904191616544267,0.0003390237288135563,0.0,0.007682642129769747,0.0006745373831190161,1.3417e-06
0.6,0.5902964959568919,0.5816034359341273,0.0,0.6122905027932575,0.9991529263200772,0.9496018860370992,0.0005123624700580556,0.1699058239994855,0.05851639758427374,0.14841849148418618,0.45508982035607914,0.0005136949152542343,0.0,0.00771422685923972,0.0010703144249602124,2.0257e-06
0.8,0.584905660377359,0.5826771653543261,0.0,0.6245810055866059,0.9988594519742774,0.9316756372047532,0.0006909991474158567,0.16909535927901231,0.011246120160727596,0.14274128142741205,0.4191616766474908,0.0006919728813559292,0.0,0.014322988188554934,2.088092444019409e-06,2.7188e-06
1.0,0.5795148247978545,0.5823192555475885,0.0,0.6385474860335307,0.9985593077569819,1.0,0.0008720717794649009,0.16828489455854267,0.007617718534202733,0.1394971613949707,0.4251497005971032,0.000873871186440675,0.0,0.015847294697758026,2.088092444019409e-06,3.4213e-06
1.2,0.5768194070080881,0.580529706513957,0.0,0.651396648044738,0.9982458237966955,0.9620346070014687,0.001057204335999349,0.16747442983807304,0.07101369071966501,0.13625304136252936,0.4251497005971032,0.0010594847457627088,0.0,0.02136569623580544,0.0012395960793976177,4.1333e-06
1.4,0.5714285714285836,0.5773085182534032,0.0,0.6636871508380864,0.9979323398364092,0.9827521017748335,0.0012463968170192026,0.1666639651176034,0.025105266957002964,0.13463098134630513,0.3892215568848769,0.0012488949152542341,0.0,0.023465394121005016,0.0003410899007320759,4.8552e-06
1.6,0.5660377358490507,0.5726556907659273,0.0,0.674301675977631,0.9976055161331319,0.94719985765758,0.00143964922252446,0.16586970969153825,0.06561921031736484,0.13381995133819657,0.38323353293162654,0.0014421694915254205,0.0,0.028072644876299048,2.088092444019409e-06,5.587e-06
1.8,0.5606469002695462,0.5687186828919124,0.0,0.6843575418993169,0.9972786924298546,0.9599105911658761,0.0016369615525151232,0.1650592449710686,0.06353071389042614,0.13381995133819657,0.3892215568848769,0.001639457627118641,0.0,0.030345372149029784,1.1308273439872455e-05,6.3292e-06
2.0,0.5579514824797798,0.5654974946313445,0.0,0.6932960893855125,0.9969385289835865,0.9240692140029356,0.001837521822094108,0.16424878025059542,0.011910204278049147,0.13381995133819657,0.4011976047877397,0.001840677966101692,0.0,0.03398310903450636,0.0001918664623120102,7.0819e-06
2.2,0.5552560646900417,0.5622763063707907,0.0,0.7033519553071983,0.9965850257943274,0.9418286553089281,0.002042954001055579,0.16343831553012578,0.1037029907846298,0.1354420113544208,0.4011976047877397,0.00204623728813559,0.0,0.035942048886198445,0.0004361607497087018,7.8456e-06
2.4,0.5525606469003037,0.5597709377236839,0.0,0.7134078212291115,0.9962315226050683,0.943574574084785,0.0022524461045024553,0.16264406010406418,0.06863164986405529,0.13787510137874648,0.3952095808381273,0.0022559999999999967,0.0,0.03863018401391471,0.0006538861488475725,8.6205e-06
2.6,0.5498652291105373,0.5579813886900382,0.0,0.7251396648046011,0.9958646796728183,0.9642587073528759,0.0024659981324347373,0.16183359538359454,0.0332378912923173,0.14030819140307926,0.38323353293162654,0.002469966101694912,0.0,0.04011603954811088,0.0006675213925070798,9.4067e-06
2.8,0.5471698113207424,0.5554760200429456,0.0,0.7363128491620046,0.9954911668690728,0.9528601930519116,0.0026844220697495036,0.1610231306631249,0.05876663217920647,0.14274128142741205,0.37125748502876377,0.002688542372881353,0.0,0.041990524579698464,0.0005400851106480092,1.0205e-05
3.0,0.5444743935309759,0.5544022906227468,0.0,0.7474860335196354,0.9951109841938319,0.9579533828566369,0.002906905931549672,0.1602126659426517,0.10294266259233414,0.1459854014598534,0.36526946107915137,0.002911457627118641,0.0,0.04294218621111986,0.0006958568069725489,1.1014e-05
3.2,0.5417789757412379,0.5526127415891153,0.0,0.7586592178770388,0.9947174617756002,0.9449868778079278,0.0031342617027323282,0.15941841051659367,0.014205625466182231,0.1500405515004033,0.3532934131726506,0.0031391186440677932,0.0,0.044097088710434995,0.0009828024706309705,1.1837e-05
3.4,0.5390835579514999,0.5501073729420227,0.0,0.7703910614525284,0.9943172694858728,0.9468996041101398,0.0033664893832974704,0.15860794579612403,0.043868049373210455,0.15328467153284464,0.3353293413128995,0.0033713898305084713,0.0,0.04458665201721959,0.0004890730122403885,1.2671e-05
3.6,0.5363881401617334,0.5461703650679937,0.0,0.7810055865923005,0.9939104073246501,0.9498798985810257,0.0036027769883480165,0.15779748107565084,0.016000577464449828,0.15652879156528599,0.3353293413128995,0.0036084067796610143,0.0,0.04520186761733039,2.088092444019409e-06,1.3519e-05
3.8,0.5363881401617334,0.5429491768074399,0.0,0.7916201117318451,0.9934902054204365,0.9602219652150712,0.003844748487678129,0.1569870163551812,0.07221192945309307,0.15977291159772733,0.359281437122263,0.0038504406779660987,0.0,0.0452423784659984,0.0012504123982576862,1.438e-05
4.0,0.5363881401617334,0.5404438081603331,0.0,0.8016759776537583,0.9930633336447275,0.9578866598460927,0.004091591896390726,0.1561927609291196,0.025663482591852943,0.16301703163016867,0.3353293413128995,0.004097491525423726,0.0,0.045297308430294,0.0028295740709032577,1.5254e-05
4.2,0.5336927223719954,0.5379384395132263,0.0,0.8111731843578127,0.9926231221260274,0.953938881722344,0.004343307214485809,0.1553822962086464,0.09907846298212264,0.16626115166261002,0.26946107784533524,0.0043495593220338954,0.0,0.04511741279722589,2.088092444019409e-06,1.6142e-05
4.4,0.5336927223719954,0.5354330708661337,0.0,0.8201117318437809,0.992176240735832,0.9440749966638506,0.00460070642686046,0.15457183148817677,0.05487355934650276,0.16950527169505847,0.2934131736510608,0.004606779661016946,0.0,0.04484619609851633,2.088092444019409e-06,1.7045e-05
4.6,0.5336927223719954,0.53221188260558,0.0,0.8290502793297492,0.9917160196026457,0.9452760108536111,0.004862977548617595,0.15376136676770713,0.06985394961622676,0.17193836171938415,0.3233532934136747,0.004869423728813557,0.0,0.04448365833416533,0.003814527276751587,1.7962e-05
4.8,0.5336927223719954,0.5282748747315651,0.0,0.8368715083799998,0.9912424587264684,0.9213446910724628,0.005130932564654297,0.15296711134164553,0.07416087197131926,0.17356042173560837,0.23952095807908336,0.005137355932203387,0.0,0.0440957154613276,0.001997531874731149,1.8894e-05
5.0,0.5336927223719954,0.5257695060844583,0.0,0.8446927374302504,0.9907622279787957,0.9320537342644926,0.0054037594900734846,0.1521566466211759,0.06312167657178602,0.1751824817518255,0.19760479041724466,0.005410983050847455,0.0,0.04365352924874797,2.088092444019409e-06,1.9841e-05
5.2,0.5336927223719954,0.5239799570508268,0.0,0.852513966480501,0.9902753273596275,0.9120257106000622,0.005683082294669319,0.1513461819007027,0.0851519453333654,0.17680454176804972,0.23353293412947096,0.005690169491525421,0.0,0.04324086789197722,2.088092444019409e-06,2.0804e-05
5.4,0.5336927223719954,0.5236220472440891,0.0,0.8608938547486105,0.989768417125973,0.9391597348872391,0.00596727700864764,0.15055192647464466,0.07516662255479895,0.17761557177615828,0.26946107784533524,0.005975050847457624,0.0,0.04288519637316317,0.0013273586048201432,2.1782e-05
5.6,0.5336927223719954,0.5232641374373657,0.0,0.8687150837988611,0.9892548370208231,0.9279169076108733,0.006257967601802606,0.14974146175417147,0.12981882052886118,0.17842660178426684,0.2514970059855841,0.0062657627118644045,0.0,0.0425308981034565,0.0007202039648699234,2.2778e-05
5.8,0.5336927223719954,0.5236220472440891,0.0,0.8765363128491117,0.988727917172682,0.928061474133715,0.00655515407413422,0.14893099703370183,0.05148095570366451,0.17842660178426684,0.2634730538884469,0.0065625762711864375,0.0,0.042307745123505595,2.088092444019409e-06,2.379e-05
6.0,0.5336927223719954,0.5246957766642737,0.0,0.8826815642457859,0.9881943274530457,0.9183977581068472,0.006857212455848321,0.1481205323132322,0.05492649358773849,0.17842660178426684,0.30538922155392356,0.006865355932203387,0.0,0.04226654765028389,0.0020901805364727014,2.4819e-05
6.2,0.5336927223719954,0.5243378668575502,0.0,0.8888268156424601,0.987640728118923,0.9818291001289996,0.00716657870163615,0.1473262768871706,0.04651957363874787,0.17842660178426684,0.27544910179494764,0.0071745084745762685,0.0,0.04235443559315687,0.004720968206704438,2.5866e-05
6.4,0.5336927223719954,0.5232641374373657,0.0,0.8938547486034167,0.9870804589133049,0.9294848983586164,0.007481628841703544,0.1465158121666974,0.048535887009455964,0.17761557177615828,0.1796407185611315,0.007489898305084743,0.0,0.042559049710157996,5.442821764604236e-05,2.6931e-05
6.6,0.5336927223719954,0.5236220472440891,0.0,0.8988826815643733,0.9865068499646958,0.9161180552466526,0.007803174860947587,0.14570534744622776,0.08413657034238825,0.17680454176804972,0.22155688622660819,0.00781166101694915,0.0,0.04298475693344895,2.088092444019409e-06,2.8014e-05
6.8,0.5336927223719954,0.5254115962777348,0.0,0.9050279329610476,0.9859199012730957,0.9535830256661182,0.008132028744265357,0.14491109202016617,0.0370972786987801,0.17599351175994116,0.26946107784533524,0.008140203389830505,0.0,0.04351002471702569,0.0059051254317131026,2.9116e-05
7.0,0.5363881401617334,0.5279169649248274,0.0,0.9117318435753532,0.9853196128385048,0.9318980472398923,0.008467378506759774,0.14410062729969653,0.051317340776208475,0.17437145174371693,0.15568862275176798,0.00847538983050847,0.0,0.044233726996620315,0.0034401323015372447,3.0238e-05
7.2,0.5390835579514999,0.5304223335719342,0.0,0.9173184357541686,0.9847059846609231,0.9462768560117443,0.008809224148430838,0.14329016257922333,0.04174105531628208,0.17356042173560837,0.09580838323381613,0.008817355932203386,0.0,0.04514831090214217,2.088092444019409e-06,3.138e-05
7.4,0.5417789757412379,0.5343593414459491,0.0,0.922905027932984,0.9840790167403504,0.9298407544148404,0.009157565669278552,0.1424959071531653,0.07156228194701764,0.17193836171938415,0.14970059880215558,0.009166508474576267,0.0,0.0461638286170572,2.088092444019409e-06,3.2541e-05
7.6,0.5444743935309759,0.538296349319964,0.0,0.928491620111572,0.9834387090767867,0.9281949201547999,0.009514027039097074,0.14168544243269565,0.06846322273285049,0.1711273317112756,0.20359281437049503,0.009522576271186436,0.0,0.047421038174872907,0.0027266311134126436,3.3724e-05
7.8,0.5471698113207424,0.5415175375805177,0.0,0.9346368715082463,0.9827783917987367,0.9212001245496211,0.009877796272989323,0.14087497771222246,0.010235557373499182,0.16950527169505847,0.17365269460788113,0.00988610169491525,0.0,0.04866039549429254,0.0015016725620476574,3.4928e-05
