采样时刻,通气速率,搅拌功率,底物流加速率,底物流加温度,底物浓度,溶氧浓度,菌体浓度,体积,c02浓度,PH值,反应温度,反应热,酸流速,基质流速,冷却水流速,青霉素浓度
2.2204e-16,0.43979057591621995,0.5465202828433178,0.0,0.58379120879124,1.0000000000000002,0.9852709618160347,0.0,0.1745737944471486,0.08546907718170293,0.2106918238993707,0.5161637931037149,0.0,0.0,0.0,0.0,2.2204e-16
0.5,0.42582897033159384,0.5221436546334175,0.0,0.6105769230769056,0.9992996171520585,0.9869549053055167,0.00042625537903376656,0.17254424419548542,0.0,0.20035938903863482,0.5172413793102351,0.0004267549586097522,0.0,0.0,2.0962075413153197e-05,1.6825e-06
1.0,0.4101221640488575,0.5,0.0,0.6332417582418657,0.9985592124270918,0.9748939334295574,0.0008736608341264607,0.17053093034583355,0.05494932216553117,0.1900269541778954,0.5183189655176648,0.0008756825348519011,0.0,0.01955139048502809,2.096207541306942e-06,3.4217e-06
1.5,0.3891797556719041,0.4778563453665825,0.0,0.6535027472529009,0.9977721155122622,0.9878296811442073,0.0013454702231333032,0.1685176164961817,0.10503730793051586,0.1868823000898452,0.5204741379316147,0.0013478288632593448,0.0,0.020075106568661058,2.096207541306942e-06,5.2206e-06
2.0,0.37172774869108594,0.4581317454410154,0.0,0.6717032967032992,0.9969316560947323,1.0,0.0018408700815904858,0.1664880662445185,0.0659500004915406,0.18373764600179499,0.5247844827590598,0.001844457456969223,0.0,0.02826172271320276,0.0003014556065166807,7.0831e-06
2.5,0.3577661431064598,0.4359880908075908,0.0,0.6899038461538112,0.9960511748001771,0.9175086384114071,0.0023631142673532293,0.16447475239486664,0.08266729583861743,0.18373764600179499,0.5247844827590598,0.002366981276909091,0.0,0.033083429188614295,0.0011980035719376411,9.0133e-06
3.0,0.3438045375218053,0.41626349088202375,0.0,0.7039835164836177,0.9951106606900842,0.9342168569304103,0.002911389315957731,0.16244520214320346,0.005672378368281883,0.1846361185983838,0.5118534482762698,0.002916677422378853,0.0,0.03751945327685426,2.096207541306942e-06,1.1016e-05
3.5,0.331588132635261,0.39411983624859914,0.0,0.7135989010989761,0.994116784077291,0.9453046406858228,0.0034889490852592093,0.1604318882935516,0.06590576183875502,0.1868823000898452,0.519396551724185,0.003495040371282653,0.0,0.04104066580815396,2.096207541306942e-06,1.3094e-05
4.0,0.3228621291448519,0.3675102344622232,0.0,0.725274725274744,0.9930628746489599,0.972236801819534,0.004097420504185274,0.1584023380418884,0.0914806185546741,0.1900269541778954,0.5301724137934798,0.0041037004631522865,0.0,0.04391298463893167,0.003804616687488986,1.5255e-05
4.5,0.3123909249563894,0.34294752512094817,0.0,0.7414148351649601,0.991948932405091,0.9576717841053224,0.004736803572735926,0.1563890241922401,0.08831509717757396,0.19407008086253086,0.4892241379316147,0.004744152175891895,0.0,0.04551931794971289,0.0022886393936090736,1.7502e-05
5.0,0.30541012216403374,0.318570896911055,0.0,0.7534340659341296,0.9907682870328465,0.9704216419542497,0.00541035214876638,0.15437571034258823,0.057647879985450456,0.19721473495058106,0.46875000000045475,0.005418025849033274,0.0,0.046832667973397114,2.096207541306942e-06,1.984e-05
5.5,0.3019197207678985,0.2964272422776304,0.0,0.7671703296704209,0.9895209385322269,0.9486178541748682,0.0061188796967404455,0.15236239649293637,0.04942932137906628,0.20080862533692567,0.48383620689719464,0.006127223545363517,0.0,0.04739427565998027,2.096207541306942e-06,2.2277e-05
6.0,0.29668411867362465,0.27446966877558765,0.0,0.7767857142857792,0.9882002165903941,0.9225932729738009,0.00686482661004954,0.1503328462412732,0.0723646051454469,0.20350404312668502,0.5010775862074297,0.006873511466042064,0.0,0.04872251167053779,2.096207541306942e-06,2.4817e-05
6.5,0.2897033158813258,0.25697804242649624,0.0,0.7888049450550625,0.9868061212073486,0.9273498665966837,0.007649819817621266,0.14831953239162132,0.06164410495374606,0.2057502246181464,0.5204741379316147,0.0076589275354836586,0.0,0.050087962648278514,2.096207541306942e-06,2.7467e-05
7.0,0.28272251308899854,0.23948641607741195,0.0,0.7963598901098976,0.9853319820702525,0.9276451034422433,0.00847548624838324,0.14630621854196946,0.10951524267358759,0.2075471698113205,0.5420258620697496,0.008485237954847746,0.0,0.05162054266046027,2.096207541306942e-06,3.0233e-05
7.5,0.2774869109947531,0.22441384443617096,0.0,0.8080357142856656,0.9837711288662685,0.9195315575383809,0.009345079760190675,0.14427666829030628,0.06243056989215601,0.20889487870620016,0.5657327586209249,0.009354888233432012,0.0,0.05273766831172387,0.004138961790328927,3.3124e-05
8.0,0.2670157068062906,0.21157424637141986,0.0,0.8221153846153584,0.9821235615953964,0.9213357827056825,0.010259413817507381,0.1422633544406544,0.02947277356691344,0.20979335130278187,0.5355603448278998,0.010269780434023554,0.0,0.05474321672501601,0.010948701609048902,3.6146e-05
8.5,0.26178010471204516,0.20338667659099485,0.0,0.8337912087911263,0.9803826099447989,0.9237304815640979,0.011221742278188574,0.1402500405910061,0.04927694379724934,0.2106918238993707,0.4461206896553449,0.01123222420429241,0.0,0.05616144529258022,2.096207541306942e-06,3.9307e-05
9.0,0.25828970331590995,0.19761816151842027,0.0,0.8478708791210465,0.9785482739144757,0.9020032366706037,0.012234505535625677,0.13823672674135423,0.05506729190629267,0.2106918238993707,0.4773706896553449,0.012244800915163922,0.0,0.058624399484342504,2.096207541306942e-06,4.2616e-05
