batch_id,Timestamp, Penicillin concentration,reindexed_id,Agitator Power,Substrate Feed Flowrate,Dissolved oxygen volume fraction,Culture Volume,Carbon Dioxide Concentration,ph,Fermentor Temperature,Generated Heat,Cooling water flow rate
1,2023/12/13 12:23,2.83E-06,1,30.812,0,1.1599,100.94,0.45528,5.0589,276.66,30.583,0
1,2023/12/13 12:24,5.72E-06,1,30.812,0,1.1574,100.93,0.6274,5.0554,281.75,65.84,0
1,2023/12/13 12:25,8.70E-06,1,30.812,0,1.1574,100.92,0.49482,5.0507,287.62,110.71,0
1,2023/12/13 12:26,1.18E-05,1,30.812,0,1.1599,100.91,0.43057,5.0449,293.13,168.39,0
1,2023/12/13 12:27,1.51E-05,1,30.812,0,1.1564,100.89,0.48322,5.038,297.81,241.65,0
1,2023/12/13 12:28,1.87E-05,1,30.812,0,1.1527,100.86,0.58009,5.0306,297.53,327.43,20.941
1,2023/12/13 12:29,2.27E-05,1,30.812,0,1.1531,100.84,0.58983,5.0235,297.53,421.78,0
1,2023/12/13 12:30,2.69E-05,1,30.812,0,1.1544,100.81,0.53775,5.0175,297.54,525.95,0
1,2023/12/13 12:31,3.16E-05,1,30.812,0,1.1542,100.79,0.54833,5.0124,297.54,640.95,0
1,2023/12/13 12:32,3.67E-05,1,30.812,0,1.1515,100.77,0.57251,5.0085,297.54,767.92,0
1,2023/12/13 12:33,4.23E-05,1,30.812,0,1.1542,100.74,0.44831,5.0053,297.55,908.12,0
1,2023/12/13 12:34,4.85E-05,1,30.812,0,1.1571,100.72,0.50559,5.0029,297.56,1062.9,0
1,2023/12/13 12:35,5.53E-05,1,30.812,0,1.1533,100.69,0.43358,5.0009,297.56,1233.9,0
1,2023/12/13 12:36,6.27E-05,1,30.812,0,1.1531,100.67,0.5224,4.9994,297.57,1422.6,0
1,2023/12/13 12:37,7.10E-05,1,30.812,0,1.1461,100.64,0.61273,4.9981,297.58,1631,0
1,2023/12/13 12:38,8.01E-05,1,30.812,0,1.1483,100.62,0.60414,4.997,297.59,1861.1,0
1,2023/12/13 12:39,9.02E-05,1,30.812,0,1.1472,100.6,0.70605,4.996,297.61,2115.1,0
