batch,time,Aeration Rate,Agitator Power,Substrate Feed Flowrate,Dissolved oxygen volume fraction,Culture Volume,Carbon Dioxide Concentration,ph,Fermentor Temperature,Generated Heat,Cooling water flow rate,Penicillin concentration
1,2024/1/24 10:00,8.8147,30.812,0,1.1599,50.468,0.45528,5.0589,276.66,15.292,0,2.83E-06
1,2024/1/24 10:30,8.8147,30.812,0,1.1576,50.465,0.62747,5.0545,286.27,34.448,0,5.73E-06
1,2024/1/24 11:00,8.8147,30.812,0,1.1583,50.458,0.49512,5.0484,294.59,61.684,0,8.74E-06
1,2024/1/24 11:30,8.8147,30.812,0,1.1612,50.445,0.43124,5.041,300.55,98.405,0,1.20E-05
1,2024/1/24 12:00,8.8147,30.812,0,1.1576,50.431,0.4842,5.0334,299.26,141.7,51.236,1.55E-05
1,2024/1/24 12:30,8.8147,30.812,0,1.1553,50.417,0.58128,5.0262,299.26,188.94,0,1.93E-05
1,2024/1/24 13:00,8.8147,30.812,0,1.1541,50.404,0.59124,5.0204,298.4,240.7,32.189,2.35E-05
1,2024/1/24 13:30,8.8147,30.812,0,1.1563,50.391,0.53935,5.0152,297.78,296.81,22.177,2.80E-05
1,2024/1/24 14:00,8.8147,30.812,0,1.1556,50.379,0.5501,5.0124,297.29,357.85,17.506,3.30E-05
1,2024/1/24 14:30,8.8147,30.812,0,1.1549,50.367,0.57443,5.0072,297.08,424.52,5.5098,3.85E-05
1,2024/1/24 15:00,8.8147,30.812,0,1.1561,50.355,0.45039,5.0096,297.08,497.86,0,4.45E-05
1,2024/1/24 15:30,8.8147,30.812,0,1.1582,50.344,0.50783,4.9979,297.09,578.69,0,5.10E-05
1,2024/1/24 16:00,8.8147,30.812,0,1.1541,50.332,0.43601,5.0184,297.1,668,0,5.82E-05
1,2024/1/24 16:30,8.8147,30.812,0,1.153,50.32,0.52502,4.9969,297.11,766.52,0,6.61E-05
1,2024/1/24 17:00,8.8147,30.812,0,1.1473,50.308,0.61559,5.0453,297.12,875.64,0,7.49E-05
1,2024/1/24 17:30,8.8147,30.812,0,1.1504,50.296,0.60725,5.0026,297.13,996.15,0,8.45E-05
1,2024/1/24 18:00,8.8147,30.812,0,1.1485,50.285,0.7095,5.1096,297.14,1130.2,0,9.52E-05
1,2024/1/24 18:30,8.8147,30.812,0,1.1494,50.273,0.58728,5.0526,297.16,1279.4,0,0.00010702
1,2024/1/24 19:00,8.8147,30.812,0,1.1516,50.261,0.4536,5.2669,297.18,1446.8,0,0.00012019
1,2024/1/24 19:30,8.8147,30.812,0,1.1525,50.249,0.69722,5.1786,297.2,1634.8,0,0.00013491
1,2024/1/24 20:00,8.8147,30.812,0,1.1525,50.237,0.68258,5.536,297.22,1847.6,0,0.0001514
1,2024/1/24 20:30,8.8147,30.812,0,1.1452,50.225,0.58026,5.3666,297.25,2086.6,0,0.00016998
1,2024/1/24 21:00,8.8147,30.812,0,1.1437,50.214,0.64218,5.6678,297.28,2354.1,0,0.00019095
1,2024/1/24 21:30,8.8147,30.812,0,1.1439,50.202,0.69038,5.4281,297.31,2651.8,0,0.0002147
1,2024/1/24 22:00,8.8147,30.812,0,1.1423,50.19,0.68214,5.683,297.35,2983.3,0,0.00024164
1,2024/1/24 22:30,8.8147,30.812,0,1.1401,50.178,0.71867,5.4103,297.39,3350.2,0,0.0002723
1,2024/1/24 23:00,8.8147,30.812,0,1.1386,50.166,0.68876,5.6397,297.44,3757.4,0,0.00030722
1,2024/1/24 23:30,8.8147,30.812,0,1.1291,50.154,0.71471,5.3586,297.49,4206.5,0,0.00034718
1,2024/1/25 0:00,8.8147,30.812,0,1.1326,50.142,0.74616,5.5745,297.55,4703.3,0,0.00039294
1,2024/1/25 0:30,8.8147,30.812,0,1.1275,50.13,0.71867,5.2948,297.61,5249.2,0,0.00044563
1,2024/1/25 1:00,8.8147,30.812,0,1.1205,50.118,0.88237,5.5028,297.69,5851.4,0,0.00050644
1,2024/1/25 1:30,8.8147,30.812,0,1.1194,50.106,0.82738,5.2273,297.77,6510,0,0.00057708
1,2024/1/25 2:00,8.8147,30.812,0,1.1182,50.094,0.9034,5.4301,297.86,7233.9,0,0.00065945
1,2024/1/25 2:30,8.8147,30.812,0,1.1102,50.081,0.84695,5.1595,297.96,8021.4,0,0.00075635
1,2024/1/25 3:00,8.8147,30.812,0,1.1041,50.069,0.87458,5.3592,298.05,8882.2,0.30839,0.000871
1,2024/1/25 3:30,8.8147,30.812,0,1.1049,50.057,0.97892,5.0939,298.08,9810.7,1.2997,0.0010084
1,2024/1/25 4:00,8.8147,30.812,0,1.1042,50.044,1.017,5.293,298.09,10816,2.1272,0.0011745
1,2024/1/25 4:30,8.8147,30.812,0,1.0962,50.032,1.1564,5.0339,298.07,11886,3.1481,0.0013791
1,2024/1/25 5:00,8.8147,30.812,0,1.0911,50.02,1.175,5.2348,298.05,13029,3.725,0.0016349
1,2024/1/25 5:30,8.8147,30.812,0,1.0856,50.007,1.2281,4.983,298.03,14225,4.1667,0.0019645
1,2024/1/25 6:00,8.8147,30.812,0,1.087,49.995,1.1667,5.1892,298.01,15475,4.3807,0.002402
1,2024/1/25 6:30,8.8147,30.812,0,1.0857,49.982,1.2562,4.9539,298.01,16739,4.5753,0.0030161
1,2024/1/25 7:00,8.8147,30.812,0,1.0843,49.97,1.3871,5.1733,298.02,17985,4.8307,0.0039384
1,2024/1/25 7:30,8.8147,30.812,0,1.092,49.958,1.4073,4.9566,298.03,19111,5.2061,0.005512
1,2024/1/25 8:00,8.8147,30.812,0,1.1106,49.945,1.5486,5.2349,298.04,19975,5.7062,0.008734
1,2024/1/25 8:30,8.8147,30.812,0,1.132,49.933,1.5724,5.1051,298.04,20408,6.2341,0.017544
1,2024/1/25 9:00,8.8147,30.812,0.039762,1.1175,49.96,1.4699,5.4489,298.03,20714,6.6756,0.02837
1,2024/1/25 9:30,8.8147,30.812,0.039762,1.1197,49.988,1.5787,5.2572,298.02,21131,6.8873,0.036299
1,2024/1/25 10:00,8.8147,30.812,0,1.1373,49.975,1.6215,5.6137,298.01,21360,7.065,0.051756
1,2024/1/25 10:30,8.8147,30.812,0.039762,1.1224,50.002,1.5661,5.4293,298,21572,7.1728,0.065978
1,2024/1/25 11:00,8.8147,30.812,0.039762,1.1169,50.03,1.6641,5.6595,298,21959,7.0824,0.073645
1,2024/1/25 11:30,8.8147,30.812,0.039762,1.117,50.057,1.651,5.3731,298,22399,7.1006,0.08005
1,2024/1/25 12:00,8.8147,30.812,0,1.135,50.045,1.6101,5.7104,298.01,22626,7.1633,0.095202
1,2024/1/25 12:30,8.8147,30.812,0.039762,1.1214,50.072,1.6603,5.4945,298.01,22829,7.3478,0.10914
1,2024/1/25 13:00,8.8147,30.812,0.039762,1.1202,50.1,1.6368,5.7032,298.01,23208,7.4205,0.11593
1,2024/1/25 13:30,8.8147,30.812,0.039762,1.1204,50.127,1.6203,5.3986,298.02,23640,7.6392,0.12141
1,2024/1/25 14:00,8.8147,30.812,0.039762,1.1121,50.154,1.6891,5.6177,298.02,24092,7.8717,0.12643
1,2024/1/25 14:30,8.8147,30.812,0,1.1429,50.142,1.68,5.4295,298.02,24312,8.1427,0.14176
1,2024/1/25 15:00,8.8147,30.812,0.039762,1.1242,50.169,1.6647,5.7424,298.02,24503,8.4375,0.15585
1,2024/1/25 15:30,8.8147,30.812,0.039762,1.1167,50.196,1.8124,5.4438,298.01,24869,8.5327,0.16193
1,2024/1/25 16:00,8.8147,30.812,0.039762,1.1147,50.224,1.738,5.6569,298.01,25291,8.6917,0.16654
1,2024/1/25 16:30,8.8147,30.812,0.039762,1.1123,50.251,1.9119,5.3736,298.01,25729,8.8245,0.17075
1,2024/1/25 17:00,8.8147,30.812,0.039762,1.115,50.279,1.7485,5.6057,298.01,26174,8.9885,0.17482
1,2024/1/25 17:30,8.8147,30.812,0.039762,1.1119,50.306,1.8221,5.3447,298.01,26618,9.1806,0.17893
1,2024/1/25 18:00,8.8147,30.812,0.039762,1.1103,50.333,1.9054,5.5882,298.02,27062,9.4108,0.18306
1,2024/1/25 18:30,8.8147,30.812,0.039762,1.1155,50.36,1.9962,5.3367,298.02,27500,9.668,0.18731
1,2024/1/25 19:00,8.8147,30.812,0.039762,1.1119,50.388,1.8691,5.5854,298.02,27938,9.9441,0.1916
1,2024/1/25 19:30,8.8147,30.812,0.039762,1.1143,50.415,1.8229,5.3375,298.02,28370,10.222,0.19603
1,2024/1/25 20:00,8.8147,30.812,0.039762,1.1137,50.442,1.9406,5.5886,298.02,28802,10.495,0.2005
1,2024/1/25 20:30,8.8147,30.812,0.039762,1.1102,50.469,1.8312,5.3417,298.02,29227,10.753,0.20511
1,2024/1/25 21:00,8.8147,30.812,0.039762,1.1103,50.497,1.9152,5.594,298.02,29651,10.996,0.20976
1,2024/1/25 21:30,8.8147,30.812,0.039762,1.1129,50.524,1.9683,5.3473,298.02,30070,11.224,0.21454
1,2024/1/25 22:00,8.8147,30.812,0.039762,1.1095,50.551,2.0624,5.6004,298.02,30487,11.445,0.21935
1,2024/1/25 22:30,8.8147,30.812,0.039762,1.1137,50.578,2.0787,5.3534,298.02,30898,11.662,0.22429
1,2024/1/25 23:00,8.8147,30.812,0.039762,1.1126,50.606,2.0088,5.6072,298.02,31309,11.883,0.22926
1,2024/1/25 23:30,8.8147,30.812,0.039762,1.1104,50.633,2.086,5.3596,298.02,31714,12.109,0.23435
1,2024/1/26 0:00,8.8147,30.812,0.039762,1.1104,50.66,2.0291,5.6141,298.02,32118,12.343,0.23946
1,2024/1/26 0:30,8.8147,30.812,0.039762,1.1103,50.687,2.1078,5.366,298.02,32516,12.582,0.24469
1,2024/1/26 1:00,8.8147,30.812,0.039762,1.1198,50.714,2.2031,5.621,298.02,32913,12.826,0.24993
1,2024/1/26 1:30,8.8147,30.812,0.039762,1.1076,50.742,2.1143,5.3724,298.02,33304,13.071,0.25529
1,2024/1/26 2:00,8.8147,30.812,0.039762,1.1042,50.769,2.1049,5.628,298.02,33695,13.316,0.26065
1,2024/1/26 2:30,8.8147,30.812,0.039762,1.1148,50.796,2.1109,5.3788,298.02,34080,13.556,0.26613
